instance,n,value,BSPR,BSPR,EBSPR,EBSPR,BSS,BSS,EBSS,EBSS,BOEM,EBOEM,KL,Louvain
,,,15log_2{n},n,15log_2{n},n,15log_2{n},n,15log_2{n},n,,,,
b2500-4,2500,1066239,945892,948582,954236,959655,917017,917017,933289,933289,957010,953740,993272,953740
,,,336.766,408.109,17.547,28.75,1979.828,1981.953,145.781,146.594,20.234,0.5,100.938,0.594
b2500-5,2500,1066387,945279,947423,949394,967859,910861,910861,919899,919899,967261,964117,998632,964117
,,,351.156,428.547,13.062,45.547,2161.875,2172.312,172.297,171.969,26.016,0.938,72.609,1
b2500-6,2500,1066978,951602,951883,953074,958236,933849,933849,925190,925190,948315,955390,982389,955390
,,,349.578,422.203,22.734,51.734,3103.906,3109.938,100.531,100.969,16.922,0.641,90.734,0.703
b2500-7,2500,1068377,945871,958840,955619,963951,929573,929573,929932,929932,952260,959041,995860,959041
,,,388.516,588.359,24.75,33.781,3145.125,3141.156,250.703,251.438,22.781,0.938,84.734,0.984
b2500-8,2500,1070060,955832,960701,961497,968218,916552,916552,937250,937250,953073,963862,986473,963862
,,,387.953,526.766,15.906,32.188,1769.672,1782.344,212.344,212.047,18.438,0.734,72.609,0.812
b2500-9,2500,1071272,952191,952191,959513,962117,932667,932667,939485,939485,957171,970223,991036,970223
,,,353.188,394.281,22.406,30.859,1980.125,1975.797,184.812,185.078,18.312,0.672,82.797,0.734
b2500-10,2500,1066770,953910,949086,962350,968887,935910,935910,939916,939916,951032,971908,987460,971908
,,,405.406,418.109,24.75,46.297,3096.703,3081.422,161.484,161.203,19.688,1.078,76.469,1.141
CPn35-1,35,7837,6518,6518,6518,6518,6576,6576,7293,7293,6518,6518,7318,6518
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn35-2,35,7215,6302,6302,6302,6302,6341,6341,6341,6341,6302,6302,6334,6302
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn35-3,35,7633,6508,6508,6508,6508,6508,6508,6508,6508,6508,6508,7160,6508
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn35-4,35,7652,6547,6547,6547,6547,6533,6533,6533,6533,6533,6533,6533,6533
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn45-1,45,11545,11279,11279,11279,11279,10842,10842,10842,10842,10973,10973,11279,10973
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn45-2,45,12345,10144,10144,10158,10158,10235,10235,10235,10235,10144,10144,10144,10144
,,,0,0,0,0.016,0,0,0,0,0,0,0,0
CPn45-3,45,11880,10721,10721,10937,10937,10314,10314,10314,10314,10721,10721,10721,10721
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn45-4,45,10506,9032,9032,9114,9114,8759,8759,8759,8759,9032,9114,9277,9114
,,,0,0,0,0,0,0,0,0,0,0,0,0
